PRODUTO;CATEGORIA;DESCRIÇÃO;MARCA;CÓD. BARRAS;PREÇO;QUANTIDADE;FORNECEDOR
Sabonete;Higiene Pessoal;Alta performance com fragrância suave;TopHig;8765129880810;14.2;489;Distribuidora Sol
Desinfetante;Cozinha;Desenvolvido para cuidados essenciais;VitaLar;8588090800685;47.21;365;Fornecedor Oeste
Sabonete;Cozinha;Combina economia com excelente desempenho;Limpax;6741179110559;15.26;190;Fornecedor Oeste
Shampoo;Cuidados com a Casa;Fórmula exclusiva com ação prolongada;Higimax;5713876057218;143.69;94;Atacado Norte
Shampoo;Cuidados com a Casa;Tecnologia avançada para melhor limpeza;BrilhoMais;4083909200703;76.02;7;Distribuidora Sol
Detergente;Banheiro;Ideal para uso diário e eficiente;VitaLar;2742193397331;75.33;342;Comercial Leste
Shampoo;Higiene Pessoal;Produto confiável para toda a família;CasaZen;6459878616824;15.7;443;Comercial Leste
Condicionador;Cuidados com a Casa;Perfeito para manter sua casa limpa;VitaLar;0772615094353;137.51;462;Atacado Norte
Shampoo;Cuidados com a Casa;Perfeito para manter sua casa limpa;CasaZen;7314601408954;17.29;310;Distribuidora Sol
Detergente;Banheiro;Perfeito para manter sua casa limpa;PuroCare;5096972964740;79.16;340;Comercial Leste
Desinfetante;Cozinha;Testado dermatologicamente para uso seguro;BrilhoMais;6137494595182;110.56;369;Fornecedor Oeste
Sabonete;Cuidados com a Casa;Combina economia com excelente desempenho;TopHig;1066232626642;55.31;122;Importadora Sul
Escova de Dente;Cozinha;Produto confiável para toda a família;BemLimpo;5937408061075;97.1;421;Distribuidora Sol
Papel Higiênico;Higiene Pessoal;Alta performance com fragrância suave;Higimax;5814296560524;94.89;246;Distribuidora Sol
Shampoo;Banheiro;Tecnologia avançada para melhor limpeza;TopHig;7169546525900;83.28;35;Atacado Norte
Condicionador;Cuidados com a Casa;Combina economia com excelente desempenho;CasaZen;8210489607024;29.01;90;Importadora Sul
Sabão em Pó;Cuidados com a Casa;Produto confiável para toda a família;VitaLar;8836651681758;120.32;116;Distribuidora Sol
Papel Higiênico;Cozinha;Desenvolvido para cuidados essenciais;TopHig;1994239980098;94.82;420;Atacado Norte
Papel Higiênico;Banheiro;Tecnologia avançada para melhor limpeza;PuroCare;3148706669166;22.9;253;Distribuidora Sol
Creme Dental;Cozinha;Alta performance com fragrância suave;VitaLar;8607459659171;56.19;187;Fornecedor Oeste
Shampoo;Limpeza Doméstica;Alta performance com fragrância suave;VitaLar;0790485743537;113.24;153;Importadora Sul
Sabonete;Higiene Pessoal;Desenvolvido para cuidados essenciais;BemLimpo;9789413776212;70.69;411;Atacado Norte
Amaciante;Cozinha;Ideal para uso diário e eficiente;BemLimpo;3715246836793;15.12;270;Comercial Leste
Desinfetante;Limpeza Doméstica;Perfeito para manter sua casa limpa;CasaZen;3588818649075;142.8;225;Distribuidora Sol
Detergente;Banheiro;Alta performance com fragrância suave;VitaLar;7118671884611;127.02;441;Fornecedor Oeste
Papel Higiênico;Limpeza Doméstica;Desenvolvido para cuidados essenciais;BemLimpo;2493359845760;133.12;174;Importadora Sul
Amaciante;Cuidados com a Casa;Alta performance com fragrância suave;Limpax;8370719631675;114.35;377;Comercial Leste
Condicionador;Cozinha;Tecnologia avançada para melhor limpeza;CasaZen;6893191314797;12.18;256;Atacado Norte
Desinfetante;Higiene Pessoal;Produto confiável para toda a família;BemLimpo;8205691254608;12.78;337;Atacado Norte
Papel Higiênico;Banheiro;Tecnologia avançada para melhor limpeza;CasaZen;5245178828002;120.71;281;Distribuidora Sol
Shampoo;Cozinha;Desenvolvido para cuidados essenciais;TopHig;4677577203287;112.92;297;Atacado Norte
Escova de Dente;Limpeza Doméstica;Testado dermatologicamente para uso seguro;TopHig;8267988731343;24.29;460;Importadora Sul
Desinfetante;Higiene Pessoal;Fórmula exclusiva com ação prolongada;CasaZen;8301116824408;81.3;94;Comercial Leste
Sabão em Pó;Higiene Pessoal;Tecnologia avançada para melhor limpeza;Limpax;4751240660942;120.56;360;Fornecedor Oeste
Papel Higiênico;Cuidados com a Casa;Combina economia com excelente desempenho;VitaLar;2649620576434;116.06;108;Atacado Norte
Escova de Dente;Cozinha;Tecnologia avançada para melhor limpeza;Limpax;6136862211133;13.24;458;Importadora Sul
Escova de Dente;Higiene Pessoal;Testado dermatologicamente para uso seguro;Limpax;4335376316478;10.14;198;Fornecedor Oeste
Papel Higiênico;Cozinha;Desenvolvido para cuidados essenciais;VitaLar;1329214769655;140.69;268;Comercial Leste
Shampoo;Banheiro;Desenvolvido para cuidados essenciais;VitaLar;4362749976055;11.21;356;Atacado Norte
Condicionador;Banheiro;Perfeito para manter sua casa limpa;BrilhoMais;1227659762821;100.69;171;Comercial Leste
Amaciante;Cuidados com a Casa;Desenvolvido para cuidados essenciais;TopHig;9875117188470;81.04;64;Fornecedor Oeste
Condicionador;Cozinha;Perfeito para manter sua casa limpa;BemLimpo;9586309297378;126.72;165;Atacado Norte
Creme Dental;Cozinha;Desenvolvido para cuidados essenciais;CasaZen;8058132943831;68.19;4;Atacado Norte
Shampoo;Banheiro;Combina economia com excelente desempenho;BemLimpo;7516458100147;96.28;472;Atacado Norte
Creme Dental;Banheiro;Combina economia com excelente desempenho;VitaLar;7049984729537;102.71;483;Fornecedor Oeste
Sabão em Pó;Cozinha;Fórmula exclusiva com ação prolongada;TopHig;3647761908780;64.62;417;Atacado Norte
Shampoo;Higiene Pessoal;Alta performance com fragrância suave;VitaLar;6259392926684;15.12;128;Distribuidora Sol
Escova de Dente;Higiene Pessoal;Ideal para uso diário e eficiente;TopHig;9247118311018;82.75;465;Comercial Leste
Papel Higiênico;Limpeza Doméstica;Tecnologia avançada para melhor limpeza;Higimax;1714817406118;108.53;205;Distribuidora Sol
Escova de Dente;Banheiro;Fórmula exclusiva com ação prolongada;Limpax;7911923451308;139.77;463;Distribuidora Sol
Shampoo;Cozinha;Perfeito para manter sua casa limpa;BemLimpo;1968254795097;39.48;315;Distribuidora Sol
Papel Higiênico;Cuidados com a Casa;Tecnologia avançada para melhor limpeza;BrilhoMais;1473363914737;143.69;290;Atacado Norte
Escova de Dente;Cozinha;Desenvolvido para cuidados essenciais;PuroCare;3477811019335;147.6;156;Importadora Sul
Shampoo;Cuidados com a Casa;Testado dermatologicamente para uso seguro;VitaLar;5342309078610;95.87;313;Importadora Sul
Detergente;Banheiro;Fórmula exclusiva com ação prolongada;CasaZen;7293244644933;23.32;367;Distribuidora Sol
Sabão em Pó;Cozinha;Fórmula exclusiva com ação prolongada;CasaZen;6911200233168;33.23;366;Distribuidora Sol
Creme Dental;Cozinha;Perfeito para manter sua casa limpa;Limpax;4026688284497;119.14;36;Comercial Leste
Escova de Dente;Higiene Pessoal;Produto confiável para toda a família;BrilhoMais;3329871019614;44.6;201;Importadora Sul
Detergente;Cozinha;Combina economia com excelente desempenho;TopHig;2325591633319;25.43;471;Fornecedor Oeste
Sabonete;Higiene Pessoal;Tecnologia avançada para melhor limpeza;VitaLar;5455724128084;87.26;452;Distribuidora Sol
Condicionador;Higiene Pessoal;Perfeito para manter sua casa limpa;VitaLar;8614475523892;61.2;451;Fornecedor Oeste
Condicionador;Cozinha;Testado dermatologicamente para uso seguro;VitaLar;9397922222011;120.77;164;Importadora Sul
Detergente;Cuidados com a Casa;Combina economia com excelente desempenho;Higimax;8851276576049;122.01;328;Fornecedor Oeste
Sabão em Pó;Higiene Pessoal;Fórmula exclusiva com ação prolongada;TopHig;8969521879827;47.8;423;Importadora Sul
Escova de Dente;Cuidados com a Casa;Fórmula exclusiva com ação prolongada;BemLimpo;3144329197205;100.81;312;Comercial Leste
Sabão em Pó;Banheiro;Ideal para uso diário e eficiente;PuroCare;8244924608658;75.21;478;Fornecedor Oeste
Sabão em Pó;Limpeza Doméstica;Produto confiável para toda a família;Higimax;6708718225317;47.58;468;Comercial Leste
Shampoo;Cuidados com a Casa;Produto confiável para toda a família;VitaLar;5916940165968;45.71;440;Atacado Norte
Desinfetante;Cuidados com a Casa;Desenvolvido para cuidados essenciais;CasaZen;4154209402019;111.06;329;Distribuidora Sol
Amaciante;Banheiro;Tecnologia avançada para melhor limpeza;BrilhoMais;5465345408245;139.93;297;Importadora Sul
Sabonete;Higiene Pessoal;Tecnologia avançada para melhor limpeza;TopHig;8583798362281;32.56;241;Importadora Sul
Creme Dental;Cozinha;Tecnologia avançada para melhor limpeza;BrilhoMais;9903759131739;118.53;387;Comercial Leste
Sabão em Pó;Banheiro;Desenvolvido para cuidados essenciais;TopHig;5670620382507;98.58;414;Atacado Norte
Detergente;Limpeza Doméstica;Fórmula exclusiva com ação prolongada;VitaLar;8960543570593;93.66;375;Importadora Sul
Escova de Dente;Higiene Pessoal;Rendimento garantido com qualidade superior;Limpax;6959179005647;29.03;88;Importadora Sul
Shampoo;Cozinha;Fórmula exclusiva com ação prolongada;CasaZen;7308954310644;136.5;135;Atacado Norte
Shampoo;Cuidados com a Casa;Tecnologia avançada para melhor limpeza;VitaLar;8687764372109;142.67;287;Comercial Leste
Desinfetante;Banheiro;Produto confiável para toda a família;Limpax;4306770395696;75.08;359;Importadora Sul
Sabão em Pó;Higiene Pessoal;Testado dermatologicamente para uso seguro;PuroCare;0695962118890;35.55;214;Comercial Leste
Amaciante;Limpeza Doméstica;Tecnologia avançada para melhor limpeza;CasaZen;9497059551539;98.83;267;Comercial Leste
Amaciante;Limpeza Doméstica;Rendimento garantido com qualidade superior;BemLimpo;3643006900143;80.33;172;Fornecedor Oeste
Sabonete;Banheiro;Combina economia com excelente desempenho;VitaLar;2530054672592;114.59;300;Atacado Norte
Sabão em Pó;Cozinha;Perfeito para manter sua casa limpa;BrilhoMais;1970785478905;132.14;112;Atacado Norte
Sabonete;Limpeza Doméstica;Alta performance com fragrância suave;CasaZen;4658466035906;32.94;90;Fornecedor Oeste
Detergente;Limpeza Doméstica;Tecnologia avançada para melhor limpeza;PuroCare;2420742733835;15.46;131;Distribuidora Sol
Papel Higiênico;Higiene Pessoal;Testado dermatologicamente para uso seguro;PuroCare;5747738316603;101.94;10;Fornecedor Oeste
Sabonete;Cuidados com a Casa;Alta performance com fragrância suave;VitaLar;8781964383551;15.31;485;Distribuidora Sol
Escova de Dente;Higiene Pessoal;Combina economia com excelente desempenho;CasaZen;6101544873973;27.39;117;Fornecedor Oeste
Papel Higiênico;Banheiro;Ideal para uso diário e eficiente;VitaLar;8921709747261;134.87;427;Comercial Leste
Escova de Dente;Banheiro;Tecnologia avançada para melhor limpeza;VitaLar;0792369630286;89.83;43;Atacado Norte
Amaciante;Limpeza Doméstica;Produto confiável para toda a família;TopHig;2974813363381;134.92;439;Comercial Leste
Shampoo;Cozinha;Tecnologia avançada para melhor limpeza;VitaLar;4614813896820;149.18;301;Distribuidora Sol
Detergente;Limpeza Doméstica;Combina economia com excelente desempenho;Higimax;2164964867289;67.5;412;Fornecedor Oeste
Amaciante;Higiene Pessoal;Ideal para uso diário e eficiente;BemLimpo;6387036634822;94.25;329;Fornecedor Oeste
Amaciante;Limpeza Doméstica;Combina economia com excelente desempenho;BrilhoMais;1361225800509;111.13;375;Importadora Sul
Condicionador;Higiene Pessoal;Tecnologia avançada para melhor limpeza;CasaZen;0051306946049;78.18;231;Comercial Leste
Detergente;Cozinha;Rendimento garantido com qualidade superior;VitaLar;7018583010484;35.4;131;Comercial Leste
Sabão em Pó;Higiene Pessoal;Desenvolvido para cuidados essenciais;BemLimpo;7551352860930;10.69;222;Importadora Sul
Escova de Dente;Cuidados com a Casa;Combina economia com excelente desempenho;CasaZen;5742330275738;97.17;277;Atacado Norte
Sabonete;Cozinha;Desenvolvido para cuidados essenciais;PuroCare;6317238596065;66.17;414;Importadora Sul
Shampoo;Cozinha;Testado dermatologicamente para uso seguro;BrilhoMais;2631988265996;77.43;316;Fornecedor Oeste
Amaciante;Banheiro;Desenvolvido para cuidados essenciais;BrilhoMais;8093871973464;75.81;97;Importadora Sul
Sabonete;Banheiro;Produto confiável para toda a família;BemLimpo;6508950709320;116.93;38;Importadora Sul
Desinfetante;Cozinha;Rendimento garantido com qualidade superior;Higimax;8806209901785;84.45;64;Fornecedor Oeste
Shampoo;Limpeza Doméstica;Combina economia com excelente desempenho;PuroCare;9861438908589;103.6;26;Comercial Leste
Creme Dental;Higiene Pessoal;Produto confiável para toda a família;BrilhoMais;6347657164930;40.37;116;Comercial Leste
Creme Dental;Cuidados com a Casa;Desenvolvido para cuidados essenciais;Limpax;3091806472490;141.14;237;Atacado Norte
Papel Higiênico;Cozinha;Combina economia com excelente desempenho;BrilhoMais;6217151745208;17.43;67;Comercial Leste
Escova de Dente;Cozinha;Ideal para uso diário e eficiente;Limpax;1459182814717;41.86;373;Atacado Norte
Papel Higiênico;Limpeza Doméstica;Rendimento garantido com qualidade superior;Higimax;9632113016673;99.72;493;Fornecedor Oeste
Escova de Dente;Banheiro;Tecnologia avançada para melhor limpeza;PuroCare;2350867449789;27.42;433;Atacado Norte
Condicionador;Cuidados com a Casa;Combina economia com excelente desempenho;BrilhoMais;9414176198906;98.07;75;Atacado Norte
Shampoo;Banheiro;Testado dermatologicamente para uso seguro;BemLimpo;0084882234033;73.34;58;Atacado Norte
Shampoo;Higiene Pessoal;Tecnologia avançada para melhor limpeza;BemLimpo;9582383145927;110.24;37;Fornecedor Oeste
Desinfetante;Cuidados com a Casa;Combina economia com excelente desempenho;TopHig;4292383617121;35.33;60;Comercial Leste
Condicionador;Cuidados com a Casa;Desenvolvido para cuidados essenciais;PuroCare;8271497965328;79.95;451;Atacado Norte
Desinfetante;Cozinha;Produto confiável para toda a família;Higimax;5803936514677;147.68;172;Atacado Norte
Amaciante;Cozinha;Tecnologia avançada para melhor limpeza;BemLimpo;0657005715500;30.93;114;Distribuidora Sol
Amaciante;Higiene Pessoal;Produto confiável para toda a família;TopHig;5022772676613;99.53;218;Fornecedor Oeste
Creme Dental;Cuidados com a Casa;Produto confiável para toda a família;BemLimpo;8041100154686;112.34;199;Importadora Sul
Escova de Dente;Cozinha;Alta performance com fragrância suave;CasaZen;4810830121751;110.62;219;Comercial Leste
Creme Dental;Cuidados com a Casa;Perfeito para manter sua casa limpa;Limpax;8517678105031;116.93;226;Importadora Sul
Detergente;Cozinha;Tecnologia avançada para melhor limpeza;CasaZen;5542169850182;45.55;19;Atacado Norte
Creme Dental;Cuidados com a Casa;Rendimento garantido com qualidade superior;VitaLar;8877435372150;48.62;14;Fornecedor Oeste
Papel Higiênico;Cuidados com a Casa;Ideal para uso diário e eficiente;TopHig;0935019297835;41.08;325;Atacado Norte
Sabonete;Limpeza Doméstica;Produto confiável para toda a família;BrilhoMais;5370574024854;102.6;282;Importadora Sul
Amaciante;Cuidados com a Casa;Tecnologia avançada para melhor limpeza;BemLimpo;7788075899027;89.74;377;Fornecedor Oeste
Sabão em Pó;Cuidados com a Casa;Combina economia com excelente desempenho;BrilhoMais;3197345686443;40.27;68;Fornecedor Oeste
Condicionador;Limpeza Doméstica;Ideal para uso diário e eficiente;CasaZen;9101458189753;102.66;444;Comercial Leste
Shampoo;Limpeza Doméstica;Alta performance com fragrância suave;TopHig;0676360046121;79.49;341;Distribuidora Sol
Creme Dental;Higiene Pessoal;Combina economia com excelente desempenho;Limpax;3697528530425;117.67;145;Fornecedor Oeste
Amaciante;Cuidados com a Casa;Ideal para uso diário e eficiente;VitaLar;9730166542107;31.26;334;Distribuidora Sol
Condicionador;Cozinha;Ideal para uso diário e eficiente;CasaZen;3064802439048;136.92;244;Importadora Sul
Papel Higiênico;Banheiro;Desenvolvido para cuidados essenciais;BrilhoMais;4089315680678;53.01;288;Atacado Norte
Sabonete;Cozinha;Ideal para uso diário e eficiente;BrilhoMais;0349057979261;77.97;84;Comercial Leste
Creme Dental;Higiene Pessoal;Produto confiável para toda a família;CasaZen;0661408074238;138.16;430;Atacado Norte
Condicionador;Limpeza Doméstica;Testado dermatologicamente para uso seguro;BemLimpo;5099298373001;30.74;416;Atacado Norte
Desinfetante;Higiene Pessoal;Alta performance com fragrância suave;BrilhoMais;6527444694240;39.3;480;Atacado Norte
Sabão em Pó;Cozinha;Tecnologia avançada para melhor limpeza;Higimax;5894788984900;51.18;247;Atacado Norte
Sabão em Pó;Higiene Pessoal;Ideal para uso diário e eficiente;TopHig;5821162941783;97.57;421;Comercial Leste
Amaciante;Limpeza Doméstica;Perfeito para manter sua casa limpa;TopHig;2292579687775;115.16;477;Atacado Norte
Condicionador;Cuidados com a Casa;Alta performance com fragrância suave;VitaLar;0058928087574;23.13;397;Distribuidora Sol
Sabonete;Cuidados com a Casa;Rendimento garantido com qualidade superior;VitaLar;2628669441342;66.27;394;Atacado Norte
Creme Dental;Banheiro;Ideal para uso diário e eficiente;CasaZen;3111825303080;80.18;373;Fornecedor Oeste
Sabonete;Banheiro;Ideal para uso diário e eficiente;Higimax;4442867447362;55.89;369;Atacado Norte
Condicionador;Cuidados com a Casa;Alta performance com fragrância suave;PuroCare;8635243427664;59.11;45;Distribuidora Sol
Detergente;Higiene Pessoal;Alta performance com fragrância suave;BrilhoMais;1947074561047;113.56;86;Distribuidora Sol
Desinfetante;Higiene Pessoal;Perfeito para manter sua casa limpa;CasaZen;6029502078767;84.51;137;Comercial Leste
Sabonete;Banheiro;Produto confiável para toda a família;Limpax;3590035475164;55.22;359;Distribuidora Sol
Papel Higiênico;Banheiro;Tecnologia avançada para melhor limpeza;BemLimpo;2645114120475;37.67;26;Comercial Leste
Amaciante;Cuidados com a Casa;Testado dermatologicamente para uso seguro;BrilhoMais;8957624135883;123.55;209;Distribuidora Sol
Sabonete;Limpeza Doméstica;Ideal para uso diário e eficiente;CasaZen;7838457970839;104.58;74;Importadora Sul
Amaciante;Higiene Pessoal;Rendimento garantido com qualidade superior;Higimax;3901554979418;26.68;485;Fornecedor Oeste
Papel Higiênico;Banheiro;Perfeito para manter sua casa limpa;CasaZen;5856024776241;59.85;7;Comercial Leste
Sabão em Pó;Limpeza Doméstica;Rendimento garantido com qualidade superior;CasaZen;3164768498386;38.01;48;Distribuidora Sol
Condicionador;Higiene Pessoal;Combina economia com excelente desempenho;Limpax;5702127245645;120.26;156;Comercial Leste
Desinfetante;Cozinha;Desenvolvido para cuidados essenciais;Limpax;6690187684698;16.8;412;Atacado Norte
Papel Higiênico;Banheiro;Ideal para uso diário e eficiente;TopHig;9647846620636;57.51;99;Distribuidora Sol
Amaciante;Banheiro;Desenvolvido para cuidados essenciais;VitaLar;3975366182166;82.85;184;Importadora Sul
Condicionador;Cuidados com a Casa;Testado dermatologicamente para uso seguro;Higimax;1693126951944;93.07;48;Importadora Sul
Desinfetante;Cuidados com a Casa;Desenvolvido para cuidados essenciais;Limpax;6803479117775;79.47;452;Comercial Leste
Amaciante;Banheiro;Produto confiável para toda a família;Limpax;4779438817305;35.29;313;Fornecedor Oeste
Amaciante;Banheiro;Desenvolvido para cuidados essenciais;VitaLar;1226074576585;30.25;374;Fornecedor Oeste
Desinfetante;Cozinha;Combina economia com excelente desempenho;CasaZen;5415936967377;39.7;461;Atacado Norte
Desinfetante;Cuidados com a Casa;Tecnologia avançada para melhor limpeza;VitaLar;5176953904941;136.66;444;Fornecedor Oeste
Sabão em Pó;Cuidados com a Casa;Combina economia com excelente desempenho;Limpax;0721010173256;147.68;296;Importadora Sul
Detergente;Cozinha;Perfeito para manter sua casa limpa;Higimax;6639605565259;62.36;472;Comercial Leste
Notebook Gamer;Eletrônicos;Notebook gamer 16GB RAM SSD 512GB;Dell;7891000000011;6500.90;12;TechDistribuidora
Smartphone A15;Eletrônicos;Smartphone 128GB tela 6.5;Samsung;7891000000012;1299.99;35;MobileTech
Teclado Mecânico;Informática;Teclado mecânico RGB ABNT2;Redragon;7891000000013;299.90;40;InfoSupply
Mouse Gamer;Informática;Mouse gamer 7200 DPI RGB;Logitech;7891000000014;189.90;55;InfoSupply
Monitor 24;Informática;Monitor LED 24 polegadas Full HD;LG;7891000000015;899.00;18;TechDistribuidora
Cadeira Gamer;Móveis;Cadeira gamer ergonômica reclinável;DXRacer;7891000000016;1450.50;10;MoveisPro
HD Externo 1TB;Informática;HD externo portátil USB 3.0;Seagate;7891000000017;420.75;22;DataStorage
Pen Drive 64GB;Informática;Pen drive USB 3.0 64GB;Kingston;7891000000018;59.90;120;DataStorage
Impressora WiFi;Informática;Impressora multifuncional WiFi;HP;7891000000019;799.99;14;PrintTech
Tablet 10;Eletrônicos;Tablet tela 10 polegadas 64GB;Lenovo;7891000000020;999.90;20;MobileTech
Caixa de Som Bluetooth;Eletrônicos;Caixa de som portátil bluetooth;JBL;7891000000021;349.90;32;AudioMax
Fone de Ouvido;Eletrônicos;Fone de ouvido sem fio bluetooth;Sony;7891000000022;299.99;45;AudioMax
Smartwatch Fit;Eletrônicos;Relógio inteligente monitor cardíaco;Xiaomi;7891000000023;399.00;27;MobileTech
Roteador WiFi 6;Redes;Roteador WiFi 6 alta velocidade;TP-Link;7891000000024;550.00;19;NetDistribuidora
Switch 8 Portas;Redes;Switch ethernet 8 portas gigabit;D-Link;7891000000025;210.90;30;NetDistribuidora
SSD 1TB;Informática;SSD interno NVMe 1TB alta velocidade;Samsung;7891000000026;680.00;25;DataStorage
Placa de Vídeo RTX;Informática;Placa de vídeo 8GB GDDR6;Nvidia;7891000000027;3200.00;8;TechDistribuidora
Fonte 650W;Informática;Fonte ATX 650W certificação bronze;Corsair;7891000000028;420.00;17;InfoSupply
Gabinete Gamer;Informática;Gabinete gamer vidro temperado RGB;CoolerMaster;7891000000029;380.90;21;InfoSupply
Webcam Full HD;Informática;Webcam 1080p para streaming;Logitech;7891000000030;249.90;28;TechDistribuidora
Mouse Pad Gamer;Informática;Mouse pad gamer grande antiderrapante;Redragon;7891000000031;49.90;80;InfoSupply
Cabo HDMI 2m;Acessórios;Cabo HDMI 2 metros alta velocidade;Multilaser;7891000000032;25.90;120;CabosTech
Adaptador USB-C;Acessórios;Adaptador USB-C para USB 3.0;Baseus;7891000000033;39.90;70;CabosTech
Carregador Turbo;Eletrônicos;Carregador turbo 30W USB-C;Motorola;7891000000034;89.90;60;MobileTech
Película Vidro;Acessórios;Película de vidro temperado smartphone;HPrime;7891000000035;19.90;150;MobileTech
Capinha Silicone;Acessórios;Capinha silicone transparente;Samsung;7891000000036;29.90;140;MobileTech
Controle Xbox;Games;Controle sem fio para Xbox;Microsoft;7891000000037;399.90;25;GameDistribuidora
Headset Gamer;Games;Headset gamer com microfone RGB;HyperX;7891000000038;459.90;30;GameDistribuidora
Volante Gamer;Games;Volante gamer com pedal para PC;Logitech;7891000000039;1899.90;7;GameDistribuidora
Microfone Condensador;Áudio;Microfone condensador para streaming;Fifine;7891000000040;329.90;18;AudioMax
Ring Light 12;Iluminação;Ring light LED 12 polegadas;Yongnuo;7891000000041;159.90;35;StudioPro
Tripé Ajustável;Fotografia;Tripé ajustável para câmera;Greika;7891000000042;189.90;20;StudioPro
Câmera Webcam Pro;Fotografia;Webcam 4K para streaming;Logitech;7891000000043;899.90;9;StudioPro
Cartão SD 128GB;Armazenamento;Cartão de memória SD 128GB;SanDisk;7891000000044;129.90;65;DataStorage
Cartão MicroSD 64GB;Armazenamento;Cartão microSD 64GB classe 10;Kingston;7891000000045;79.90;90;DataStorage
Leitor de Cartão;Acessórios;Leitor de cartão USB 3.0;Multilaser;7891000000046;34.90;75;DataStorage
Notebook Office;Eletrônicos;Notebook 8GB RAM SSD 256GB;Acer;7891000000047;3499.90;16;TechDistribuidora
Chromebook 11;Eletrônicos;Chromebook tela 11 polegadas;Samsung;7891000000048;2199.90;14;TechDistribuidora
Projetor Full HD;Eletrônicos;Projetor Full HD 4000 lumens;Epson;7891000000049;2799.90;6;OfficeTech
Tela de Projeção;Eletrônicos;Tela de projeção retrátil 100;Nardelli;7891000000050;499.90;12;OfficeTech
Estabilizador 300W;Energia;Estabilizador 300W bivolt;SMS;7891000000051;199.90;40;EnergiaTech
